IDENTIFIER,IDENTIFFIER_TYPE,PUBLISHER,TITLE,PRIMARY_CREATORS,UNIVERSITY,SEMESTER,DEPARTMENT,COURSE CODE,NO. OF STUDENTS,PRESCRIBED/RECOMMENDED
978-0495557425,ISBN,Cengage Learning,Calculus: Concepts and Contexts,James Stewart,UCT,1st & 2nd semester,Academic Support Programme for Engineering in Cape Town (ASPECT),END1020F/S,70,Prescribed
978-0495557425,ISBN,Cengage Learning,Calculus: Concepts and Contexts,James Stewart,UCT,1st & 2nd semester,Academic Support Programme for Engineering in Cape Town (ASPECT),END1021F/S,70,Prescribed
978-0-409-10813-2,ISBN,Lexis Nexis,A Guide through IFRS,SAICA / Rashid Small,UCT,1st & 2nd semester,Accounting,ACC3009W,500,Prescribed
978-0-409-10813-2,ISBN,Lexis Nexis,A Guide through IFRS,SAICA / Rashid Small,UCT,1st & 2nd semester,Accounting,ACC3500W,40,Prescribed
,ISBN,Lexis Nexis,A Guide through International Financial Reporting Standards (Latest Edition),IASCF,UCT,1st & 2nd semester,Accounting,ACC4023W,350,Prescribed
,ISBN,Lexis Nexis,A Guide through International Financial Reporting Standards (Latest Edition),IASCF,UCT,1st & 2nd semester,Accounting,ACC4025H,350,Prescribed
978-0-199-04648-5,ISBN,Oxford,"Accounting, An Introduction (4th Edition)","Kew, J; Watson, A.",UCT,2nd semester,Accounting,ACC2111S,300,Prescribed
978-0-199-04648-5,ISBN,Oxford,Accounting: An Introduction (4th),"Kew, J; Watson, A.",UCT,1st semester,Accounting,ACC1006F,1050,Prescribed
978-0-199-04648-5,ISBN,Oxford,Accounting: An Introduction (4th),"Kew, J; Watson, A.",UCT,2nd semester,Accounting,ACC1006S,85,Prescribed
978-0-199-04648-5,ISBN,Oxford,Accounting: An Introduction (4th),"Kew, J; Watson, A.",UCT,1st semester,Accounting,ACC1106F,300,Prescribed
978-0-199-04648-5,ISBN,Oxford,Accounting: An Introduction (4th),"Kew, J; Watson, A.",UCT,2nd semester,Accounting,ACC2011S,860,Prescribed
978-1-118-00367-1,ISBN,John Wiley & Sons,Applying IFRS for SME's (1st Edition),"Prof Daniel Coetsee, Raymond Chamboko, Allan Lamboard, Bruce Macken",UCT,1st & 2nd semester,Accounting,ACC2012W,650,Prescribed
978-0-409-10641-1,ISBN,Lexis Nexis,Auditing Notes for South African Students (8th Edition),Jackson & Stent,UCT,1st & 2nd semester,Accounting,ACC2018S,650,Prescribed
978-0-409-10641-1,ISBN,Lexis Nexis,Auditing Notes for South African Students (8th Edition),Jackson & Stent,UCT,1st & 2nd semester,Accounting,ACC3022H,540,Prescribed
978-0-409-10641-1,ISBN,Lexis Nexis,Auditing Notes for South African Students (8th Edition),Jackson & Stent,UCT,1st & 2nd semester,Accounting,ACC3023S,650,Prescribed
978-0-409-10641-1,ISBN,Lexis Nexis,Auditing Notes for South African Students (8th Edition),Jackson & Stent,UCT,1st & 2nd semester,Accounting,ACC3502H,40,Prescribed
978-0-409-10641-1,ISBN,Lexis Nexis,Auditing Notes for South African Students (8th Edition),Jackson & Stent,UCT,1st & 2nd semester,Accounting,ACC4025H,350,Prescribed
978-0-409-10093-8,ISBN,Lexis Nexis,Dynamic Auditing (Latest Edition),"Marx, van der Walt, Bourne, Hamel",UCT,1st & 2nd semester,Accounting,ACC4025H,350,Recommended
978-0-195-99811-5,ISBN,Oxford University Press,Financial Accounting: GAAP Principles (3rd),"Ilse Lubbe, Goolam Modack, Alex Watson",UCT,1st & 2nd semester,Accounting,ACC2012W,650,Prescribed
978-0-195-99811-5,ISBN,Oxford University Press,Financial Accounting: GAAP Principles (3rd),"Ilse Lubbe, Goolam Modack, Alex Watson",UCT,1st & 2nd semester,Accounting,ACC2113W,40,Prescribed
978-0-195-99811-5,ISBN,Oxford University Press,Financial Accounting: GAAP Principles (3rd),"Ilse Lubbe, Goolam Modack, Alex Watson",UCT,1st & 2nd semester,Accounting,ACC2114W,60,Prescribed
978-0-195-99811-5,ISBN,Oxford University Press,Financial Accounting: GAAP Principles (3rd),"Ilse Lubbe, Goolam Modack, Alex Watson",UCT,1st & 2nd semester,Accounting,ACC3009W,500,Prescribed
978-0-195-99811-5,ISBN,Oxford University Press,Financial Accounting: GAAP Principles (3rd),"Ilse Lubbe, Goolam Modack, Alex Watson",UCT,1st & 2nd semester,Accounting,ACC3020W,130,Prescribed
978-0-195-99811-5,ISBN,Oxford University Press,Financial Accounting: GAAP Principles (3rd),"Ilse Lubbe, Goolam Modack, Alex Watson",UCT,1st & 2nd semester,Accounting,ACC3500W,40,Prescribed
978-0-702-17157-4,ISBN,Juta,Financial Management (7th Edition),"Corriea, C; Flynn, D. et al",UCT,1st & 2nd semester,Accounting,ACC4000H,460,Prescribed
978-0-702-17157-4,ISBN,Juta,Financial Management (7th Edition),"Corriea, C; Flynn, D. et al",UCT,1st & 2nd semester,Accounting,ACC4020W,350,Prescribed
978-0-702-17157-4,ISBN,Juta,Financial Management (7th Edition),"Corriea, C; Flynn, D. et al",UCT,1st & 2nd semester,Accounting,ACC4045S,40,Prescribed
978-1-874-92966-6,ISBN,H&H Publishing / Hedron Tax Consulting and Publishing CC,Fundamentals of South African Income Tax (4th Edition),"Riley Carpenter, Shaun Parsons, Craig West, Phillip Haupt",UCT,1st & 2nd semester,Accounting,ACC2023F,310,Prescribed
978-1-874-92966-6,ISBN,H&H Publishing / Hedron Tax Consulting and Publishing CC,Fundamentals of South African Income Tax (4th Edition),"Riley Carpenter, Shaun Parsons, Craig West, Phillip Haupt",UCT,1st & 2nd semester,Accounting,ACC2023S,270,Prescribed
978-0-195-99678-4,ISBN,Oxford University Press,Guide to Business Law (5th Edition),Shawn Kopel,UCT,1st & 2nd semester,Accounting,ACC3502H,40,Prescribed
,ISBN,Lexis Nexis,IFRS for SME's,SAICA,UCT,1st & 2nd semester,Accounting, ACC2114W,60,Prescribed
,ISBN,Lexis Nexis,IFRS for SME's,SAICA,UCT,1st & 2nd semester,Accounting,ACC2012W,650,Prescribed
,ISBN,Lexis Nexis,IFRS for SME's,SAICA,UCT,1st & 2nd semester,Accounting,ACC2113W,40,Prescribed
,ISBN,IRBA,IRBA Code of Professional Conduct (latest edition),IRBA,UCT,1st & 2nd semester,Accounting,ACC3022H,540,Prescribed
978-0-077-11690-3,ISBN,McGraw Hill,Management Accounting - Information for Managing and Creating Value,"Corriea, C; Langefield,-Smith, K; Thorne, H.; & Hilton, RW.",UCT,1st semester,Accounting,ACC2022F,410,Prescribed
978-0-077-11690-3,ISBN,MacGraw Hill,Management Accounting - Information for Managing and Creating Value,"Corriea, C; Langefield-Smith, K; Thorne, H; & Hilton, RW.",UCT,1st & 2nd semester,Accounting,ACC3501W,40,Prescribed
978-0-077-11690-3,ISBN,McGraw Hill,Management Accounting - Information for Managing and Creating Value (SA Edition),"Corriea, C; Langefield-Smith, K; Thorne, H; & Hilton, RW.",UCT,2nd semester,Accounting,ACC2022S,340,Prescribed
978-1-844-80566-2,ISBN,Sourthern Western Cengage Learning,Management and Cost Accounting,Colin Drury,UCT,2nd semester,Accounting,ACC3023S,650,Prescribed
978-1-844-80566-2,ISBN,Southern Western Cengage Learning,Management and Cost Accounting,Colin Drury,UCT,1st & 2nd semester,Accounting,ACC3501W,40,Prescribed
978-1-844-80566-2,ISBN,Southern Western Cengage Lerning,Management and Cost Accounting,Colin Drury,UCT,1st & 2nd semester,Accounting,ACC4020W,350,Prescribed
,ISBN,IRBA,Manual of Information (latest edition),IRBA,UCT,1st & 2nd semester,Accounting,ACC3022H,540,Prescribed
,ISBN,IRBA,Manual of Information (latest edition),IRBA,UCT,1st & 2nd semester,Accounting,ACC4025H,350,Prescribed
,ISBN,SAICA,Member's Handbook,SAICA,UCT,1st & 2nd semester,Accounting,ACC3022H,540,Prescribed
,ISBN,SAICA,Member's Handbook,SAICA,UCT,1st & 2nd semester,Accounting,ACC3502H,40,Prescribed
,ISBN,SAICA,Member's Handbook,SAICA,UCT,1st & 2nd semester,Accounting,ACC4025H,350,Prescribed
9781874929741,ISBN,Hedron,Notes on South African Income Tax,Phillip Haupt,UCT,1st & 2nd semester,Accounting,ACC3503H,40,Prescribed
978-0-874-92968-3,ISBN,H&H Publishing / Hedron Tax Consulting and Publishing CC,Notes on South African Income Tax (33rd),"Phillip Haupt, Keith Huxham",UCT,1st & 2nd semester,Accounting,ACC3004H,615,Prescribed
,ISBN,H&H Publishing / Hedron Tax Consulting and Publishing CC,Notes on South African Income Tax (33rd),Phillip Haupt,UCT,1st & 2nd semester,Accounting,ACC4022H,350,Prescribed
978-0-702-17268-7,ISBN,Juta,Principles and Practice of Auditing (9th Edition),"G. Puttick, Sandy van Esch, S. D. Van Esch",UCT,1st & 2nd semester,Accounting,ACC4025H,350,Recommended
978-1-485-10208-3,ISBN,Juta,Questions on SA Tax,"Roeleveld, Warneke, West",UCT,1st & 2nd semester,Accounting,ACC3004H,615,Prescribed
978-0-620-49463-2,ISBN,Juta / Tax Academic Editors,Questions on SA Tax,"Jennifer Roeleveld, David Warneke, Craig West",UCT,1st & 2nd semester,Accounting,ACC4002H,350,Prescribed
978-0-620-50466-9,ISBN,Juta,Questions on SA Tax (15th Edition),"Roeleveld, Warneke and West",UCT,1st & 2nd semester,Accounting,ACC3503H,40,Prescribed
,ISBN,Lexis Nexis,SAICA Handbook (volumes 2 & 3),SAICA,UCT,1st & 2nd semester,Accounting,ACC3009W,500,Prescribed
,ISBN,Lexis Nexis,SAICA Handbook (volumes 2 & 3),SAICA,UCT,1st & 2nd semester,Accounting,ACC3500W,40,Prescribed
978-0-409-05778-2,ISBN,Lexis Nexis,SAICA Legislation Handbook 2013/2014 (latest edition),Integritas SAICA,UCT,1st & 2nd semester,Accounting,ACC3004H,615,Prescribed
978-0-409-05778-2,ISBN,Lexis Nexis,SAICA Legislation Handbook 2013/2014 (latest edition),Integritas SAICA,UCT,1st & 2nd semester,Accounting,ACC3503H,40,Prescribed
978-0-409-05778-2,ISBN,Lexis Nexis,SAICA Legislation Handbook 2013/2014 (latest edition),Integritas SAICA,UCT,1st & 2nd semester,Accounting,ACC4002H,40,Prescribed
978-0-409-05778-2,ISBN,Lexis Nexis,SAICA Legislation Handbook 2013/2014 (latest edition),Integritas SAICA,UCT,1st & 2nd semester,Accounting,ACC4025H,350,Prescribed
978-0-620-48850-1,ISBN,Cape Business Seminars,Understanding Financial Statements (2nd Edition),"Graham, M; Winfield, J.",UCT,1st & 2nd semester,Accounting,ACC1012S,250,Prescribed
978-0-620-48850-1,ISBN,Cape Business Seminars,Understanding Financial Statements (2nd Edition),"Graham, M; Winfield, J.",UCT,1st & 2nd semester,Accounting,ACC3500W,40,Prescribed
978-0-199-65259-4,ISBN,Simon & Schuster,From Lucy to Language,Don Johanson and B Edgar,UCT,2nd semester,Archaeology,AGE2011S,100,Prescribed
978-0-192-80360-3,ISBN,Oxford University Press,Human Evolution: A Very Short Introduction,Bernard Wood,UCT,2nd semester,Archaeology,AGE2011S,100,Prescribed
978-0-393-91289-0,ISBN,W. W. Norton & Company,Reconstructing Human Origins: A Modern Synthesis (3rd),Glenn Conroy,UCT,2nd semester,Archaeology,AGE2011S,100,Prescribed
978-0-226-43965-5,ISBN,University of Chicago Press,The Human Career,Richard Klein,UCT,2nd semester,Archaeology,AGE2011S,100,Prescribed
978-0-500-29063-7,ISBN,Thames & Hudson,The Human Past: World Prehistory of the Development of Human Science (3rd),Chris Scarre,UCT,2nd semester,Archaeology,AGE1002S,60,Prescribed
978-0-465-04426-9,ISBN,Basic Books,What Evolution Is,Ernst Mayr,UCT,2nd semester,Archaeology,AGE2011S,100,Prescribed
978-0-132-25708-4,ISBN,Prentice Hall,World Prehistory: A Brief Introduction (7th),"Fagan, B",UCT,2nd semester,Archaeology,AGE1002S,60,Prescribed
978-0582212572 0,ISBN,Harlow: Longman Scientific & Technical,Mitchell’s Building Series: Internal Components,"Blanc, A",UCT,1st & 2nd semester,"Architecture, Planning & Geomatics (Architecture)",APG2021W,70,Recommended
978-3034602693,ISBN,Basel: Birkhäuser,Understanding Steel Design: An Architectural Design Manual,"Boake, T.M",UCT,1st & 2nd semester,"Architecture, Planning & Geomatics (Architecture)",APG2021W,70,Recommended
978-0470087817,ISBN,Hoboken: John Wiley & Sons,Building Construction Illustrated (Fourth Edition),Francis D. K. Ching,UCT,1st & 2nd semester,"Architecture, Planning & Geomatics (Architecture)",APG2021W,70,Recommended
9781405110556,ISBN,Oxford: Blackwell Publishing Limited,Barry’s Advanced Construction of Buildings (2005),"Stephen Emmitt, Christopher Gorse",UCT,1st & 2nd semester,"Architecture, Planning & Geomatics (Architecture)",APG2021W,70,Recommended
9781405110549,ISBN,Oxford: Blackwell Publishing Limited,Barry’s Advanced Construction of Buildings (2006),"Stephen Emmitt, Christopher Gorse",UCT,1st & 2nd semester,"Architecture, Planning & Geomatics (Architecture)",APG2021W,70,Recommended
9780582405202,ISBN,Harlow: Pearson Education Limited,Mitchell’s Building Series: Structure and Fabric Part 2 (2000),"Foster, J.S. ",UCT,1st & 2nd semester,"Architecture, Planning & Geomatics (Architecture)",APG2021W,70,Recommended
978-0582404472,ISBN,Harlow: Pearson Education Limited,Mitchell’s Building Series: Structure and Fabric Part 1 (2000),"Foster, J.S. ",UCT,1st & 2nd semester,"Architecture, Planning & Geomatics (Architecture)",APG2021W,70,Recommended
9780851392134,ISBN,The Architectural Press,Everyday Details,Cecil C. Handisyde,UCT,1st & 2nd semester,"Architecture, Planning & Geomatics (Architecture)",APG2021W,70,Recommended
978-0750647939,ISBN,Oxford: Architectural Press,"Structure & Architecture, 2nd Edition","MacDonald, A. J.",UCT,1st & 2nd semester,"Architecture, Planning & Geomatics (Architecture)",APG2021W,70,Recommended
978-0582212558,ISBN,Harlow: Longman Scientific & Technical,Mitchell’s Building Series: External Components,"McEvoy, M",UCT,1st & 2nd semester,"Architecture, Planning & Geomatics (Architecture)",APG2021W,70,Recommended
9780620409810,ISBN,Pretoria: Visual Books,Construction Primer for Southern Africa.,"Wegelin, H.",UCT,1st & 2nd semester,"Architecture, Planning & Geomatics (Architecture)",APG2021W,70,Recommended
9780620478397,ISBN,Buildaid,Energy Saving Building Solutions: A Commentary on SANS204 and more,Buildaid Publishing,UCT,1st & 2nd semester,"Architecture, Planning & Geomatics (Architecture)",APG2021W,70,Recommended
None listed,,Department of Minerals and Energy,Manual for Energy Conscious Design,Dieter Holm,UCT,1st & 2nd semester,"Architecture, Planning & Geomatics (Architecture)",APG2021W,70,Recommended
9780620363884,ISBN,Hout Bay: G.P.Koning,The Waterproofing of Buildings,"Koning, P.",UCT,1st & 2nd semester,"Architecture, Planning & Geomatics (Architecture)",APG2021W,70,Recommended
9780958477956,ISBN,Midrand: Cement & Concrete Institute,Architectural Concrete: A Guide to Achieving High-quality Finishes,"Van der Merwe, D",UCT,1st & 2nd semester,"Architecture, Planning & Geomatics (Architecture)",APG2021W,70,Recommended
978-0470048092 ,ISBN,Wiley,"Heating, Cooling and Lighting", Norbert Lechner,UCT,1st & 2nd semester,"Architecture, Planning & Geomatics (Architecture)",APG2038W,60,Recommended
,ISBN,Pearson,An Introduction to Modern Astrophysics (2nd),Carroll & Ostlie,UCT,2nd semester,Astronomy,AST3003S,6,Prescribed
978-0-321-69143-9,ISBN,Pearson,Astronomy Today (7th),Chaisson & McMillan,UCT,1st semester,Astronomy,AST1000F,95,Prescribed
,ISBN,Pearson,Foundations of Astrophysics (1st),Barbara Ryden & Bradley M.Peterson,UCT,1st & 2nd semester,Astronomy,AST2002H,20,Prescribed
 978-0521285759,ISBN,Cambridge Uni. Press.,An introduction to the invertebrates,"Moore, J. ",UCT,1st semester,Biological Sciences,BIO2011S,60,Recommended
978-0-073-38306-4,ISBN,McGraw-Hill,Biology Laboratory Manual,Darrell S Vodopich & Randy Moore,UCT,1st semester,Biological Sciences,BIO1000F,280,Recommended
978-0-073-38306-4,ISBN,McGraw-Hill,Biology Laboratory Manual,Darrell S Vodopich & Randy Moore,UCT,1st & 2nd semester,Biological Sciences,BIO1000H,70,Recommended
978-0-132-06502-3,ISBN,Prentice Hall,Biostatistical Analysis,Jerrold H. Zar,UCT,1st & 2nd semester,Biological Sciences, BIO4001W,8,Recommended
978-0-132-06502-3,ISBN,Prentice Hall,Biostatistical Analysis,Jerrold H. Zar,UCT,1st & 2nd semester,Biological Sciences,BIO4000W,20,Recommended
978-0-132-06502-3,ISBN,Prentice Hall,Biostatistical Analysis,Jerrold H. Zar,UCT,1st & 2nd semester,Biological Sciences,BIO5005H,10,Recommended
978-0-321-77565-8,ISBN,Benjamin Cummings,Campbell Biology (10th),"Campbell, Reece et al",UCT,1st semester,Biological Sciences,BIO1000F,280,Prescribed
978-0-321-77565-8,ISBN,Benjamin Cummings,Campbell Biology (10th),"Campbell, Reece et al",UCT,1st semester,Biological Sciences,BIO1004F ,60,Prescribed
978-0-321-77565-8,ISBN,Benjamin Cummings,Campbell Biology (10th),"Campbell, Reece et al",UCT,1st & 2nd semester,Biological Sciences,BIO1004H,70,Prescribed
978-0-321-77565-8,ISBN,Benjamin Cummings,Campbell Biology (10th),"Campbell, Reece et al",UCT,2nd semester,Biological Sciences,BIO1004S ,250,Prescribed
978-0073038698,ISBN,McGraw-Hill,Comparative anatomy of the vertebrates. 9th Ed. ,"Kent, G.C. & Carr, R.K.",UCT,1st semester,Biological Sciences,BIO2011S,60,Recommended
978-0-070-17168-8,ISBN,McGraw Hill,Ecology- Concepts and Applications ,Molles MC ,UCT,1st semester,Biological Sciences,BIO2010F,65,Recommended
978-0-878-93640-3,ISBN,Sinauer Associates,Essentials of Conservation Biology ,Richard B. Primack,UCT,2nd semester,Biological Sciences,BIO3014S ,30,Recommended
978-1-4051-0345-9,ISBN,John Wiley & Sons,Evolution (3rd),Mark Ridley,UCT,2nd semester,Biological Sciences,BIO3016S,20,Prescribed
978-0-521-64673-4,ISBN,"Cambridge University Press, Cambridge",Green plants: Their Origin and Diversity,"Bell PR, Hemsley A",UCT,2nd semester,Biological Sciences,BIO2012S,35,Recommended
978-0-073-52420-7,ISBN,McGraw Hill,Marine Biology (9th),"Peter Castro, Michael Huber",UCT,2nd semester,Biological Sciences,BIO2013S,75,Prescribed
978-0-073-52420-7,ISBN,McGraw Hill,Marine Biology (9th),"Peter Castro, Michael Huber",UCT,1st semester,Biological Sciences,BIO3002F,28,Recommended
978-0-632-05098-7,ISBN,Blackwell Publishing.,Marine Fisheries Ecology,"Jennings, S, Kaiser, MJ and Reynolds, JD ",UCT,2nd semester,Biological Sciences,BIO3017S ,23,Recommended
978-0-878-93866-7,ISBN,Sinauer Associates,Plant Physiology (5th),Lincoln Taiz & Eduardo Zeiger,UCT,2nd semester,Biological Sciences,BIO2012S ,35,Recommended
978-0-878-93866-7,ISBN,Sinauer Associates,Plant Physiology (5th),Lincoln Taiz & Eduardo Zeiger,UCT,1st semester,Biological Sciences,BIO3013F,47,Recommended
978-0-878-93407-2,ISBN,Sinauer Associates,Plant Systematics: A Phylogenetic Approach,"W Judd, C Campbell, EA Kellogg, PF Stevens and MJ Donoghue ",UCT,2nd semester,Biological Sciences,BIO2012S,35,Recommended
978-0-878-93407-2,ISBN,Sinauer Associates,Plant Systematics: A Phylogenetic Approach,"W Judd, C Campbell, EA Kellogg, PF Stevens and MJ Donoghue",UCT,2nd semester,Biological Sciences,BIO3016S,20,Recommended
978-0632031276,ISBN,Blackwell Science Publishers,The invertebrates : a new synthesis.,"R.S.K. Barnes, P. Calow, P.J.W. Olive",UCT,1st semester,Biological Sciences,BIO2011S,60,Recommended
978-1-919-97621-1,ISBN,SANBI Pretoria (Strelitzia 19),"The Vegetation of South Africa, Lesotho and Swaziland",L Mucina and M.C. Rutherford (Eds.). ,UCT,1st semester,Biological Sciences,BIO3015F ,25,Recommended
978-1421400402,ISBN,McGraw-Hill,Vertebrate biology,"Linzey, D",UCT,1st semester,Biological Sciences,BIO2011S,60,Recommended
978-0321773364,ISBN,Prentice Hall,Vertebrate Life,"Pough, F.H., Janis, C.M. & Heiser, J.B.",UCT,1st semester,Biological Sciences,BIO2011S,60,Recommended
9780801626661,ISBN,Wiliam C Brown,"Vertebrates: Comparative anatomy, function, evolution","Kardong, K.V",UCT,1st semester,Biological Sciences,BIO2011S,60,Recommended
978-0-521-00976-8,ISBN,Cambridge University Press,Experimental Design and Data Analysis for Biologists,"Gerald Peter Quinn, Michael J. Keough",UCT,1st & 2nd semester,Biological Sciences & Statistical Sciences,BIO4000W,20,Recommended
978-0-521-00976-8,ISBN,Cambridge University Press,Experimental Design and Data Analysis for Biologists,"Gerald Peter Quinn, Michael J. Keough",UCT,1st & 2nd semester,Biological Sciences & Statistical Sciences,BIO4001W,8,Recommended
978-0-521-00976-8,ISBN,Cambridge University Press,Experimental Design and Data Analysis for Biologists,"Gerald Peter Quinn, Michael J. Keough",UCT,1st & 2nd semester,Biological Sciences & Statistical Sciences,BIO5005H,10,Recommended
978-0-521-63956-9,ISBN,Cambridge University Press,Chemical Engineering Design and Analysis: An Introduction,Duncan & Reimer,UCT,1st & 2nd semester,Chemical Engineering,CHE1000Z,10,Prescribed
978-0-521-63956-9,ISBN,Cambridge University Press,Chemical Engineering Design and Analysis: An Introduction,Duncan & Reimer,UCT,1st & 2nd semester,Chemical Engineering,CHE1005W,140,Prescribed
978-0-471-48681-7,ISBN,McGraw Hill,"Chemical Process Design
","Smith, R",UCT,1st semester,Chemical Engineering,CHE4049F,120,Recommended
978-0-471-25424-9,ISBN,John Wiley,Chemical Reaction Engineering (3rd),O Levenspiel,UCT,1st semester,Chemical Engineering,CHE3044F ,100,Recommended
978-0-471-25424-9,ISBN,John Wiley,Chemical Reaction Engineering (3rd),O Levenspiel,UCT,2nd semester,Chemical Engineering,CHE3054S ,100,Recommended
978-0-471-66174-0,ISBN,Wiley,"Chemical, Biochemical & Engineering Thermodynamics (4th)","Sandler, SI",UCT,2nd semester,Chemical Engineering,CHE2035S,10,Prescribed
978-0-471-66174-0,ISBN,Wiley,"Chemical, Biochemical & Engineering Thermodynamics (4th)","Sandler, SI",UCT,1st semester,Chemical Engineering,CHE3046F,100,Prescribed
978-0-750-64445-7,ISBN,Butterworth Heinemann,Coulson and Richardson's Chemical Engineering (Vol 2),"Harker, Richardson, Backhurst",UCT,2nd semester,Chemical Engineering,CHE3040S,100,Prescribed
978-0-080-41866-7,ISBN,Pergamon,Coulson and Richardson's Chemical Engineering (Vol 6),Sinnot,UCT,1st semester,Chemical Engineering,CHE4049F,120,Recommended
978-0-471-72063-8,ISBN,Wiley,Elementary Principles of Chemical Processes (3rd),Felder & Rousseau,UCT,1st semester,Chemical Engineering,CHE2031F,135,Prescribed
978-0-130-47394-3,ISBN,Prentice Hall,Elements of Chemical Reaction Engineering (4th),H Scott Fogler,UCT,2nd semester,Chemical Engineering, CHE3054S,100,Prescribed
978-0-130-47394-3,ISBN,Prentice Hall,Elements of Chemical Reaction Engineering (4th),H Scott Fogler,UCT,1st semester,Chemical Engineering,CHE3044F ,100,Prescribed
978-0-470-12868-8,ISBN,Wiley,"Fundamentals of Momentum, Heat & Mass Transfer (5th)","Welty, Wicks, Wilson, Rorrer",UCT,2nd semester,Chemical Engineering,CHE2040S,120,Prescribed
978-0-470-12868-8,ISBN,Wiley,"Fundamentals of Momentum, Heat & Mass Transfer (5th)","Welty, Wicks, Wilson, Rorrer",UCT,1st semester,Chemical Engineering,CHE3063F ,100,Prescribed
978-0-131-48193-0,ISBN,Prentice Hall,Introduction to Environmental Engineering and Science (3rd),"Masters, G.M.",UCT,1st semester,Chemical Engineering,CHE4024F,40,Prescribed
978-0-470-01428-8,ISBN,Wiley,Introduction to Particle technology ,Martin Rhodes (ed),UCT,2nd semester,Chemical Engineering,CHE3040S,100,Recommended
978-0-646-28861-1,ISBN,"Julius Kruttschnitt Mineral Research Centre, Queensland University",Mineral Comminution Circuits- Their Operation and Optimisation,"Napier-Munn, JJ",UCT,1st semester,Chemical Engineering,CHE4050F ,40,Recommended
978-0-470-12867-1,ISBN,Wiley,Process Dynamics and Control (3rd),"Seborg, DE, TF Edgar & DA Mellichamp",UCT,1st semester,Chemical Engineering,CHE4042F,120,Prescribed
978-0-470-04895-5,ISBN,Wiley,"Product and Process Design Principles: Synthesis, Analysis, and Evaluation (3rd)","Seider, Seader, Lewin",UCT,1st semester,Chemical Engineering,CHE4048F,120,Recommended
978-0-470-04895-5,ISBN,John Wiley & Sons,"Product and Process Design Principles: Synthesis, Analysis, and Evaluation (3rd)","Seider, Seader, Lewin",UCT,1st semester,Chemical Engineering,CHE4049F,120,Prescribed
978-0-471-46480-8,ISBN,Wiley,"Separation Process Principles (2nd)
","JD Seader, EJ Henley",UCT,2nd semester,Chemical Engineering,CHE3053S,100,Prescribed
978-0-750-64568-3,ISBN,Butterworth Heinemann,Solid-Liquid Separations (4th),Ladislav Svarovsky,UCT,2nd semester,Chemical Engineering,CHE3040S,100,Recommended
978-0-750-64450-1,ISBN,Butterworth Heinemann,Will's Mineral Processing Technology (7th),BA Wills,UCT,2nd semester,Chemical Engineering,CHE3064S ,30,Recommended
978-0-750-64450-1,ISBN,Butterworth Heinemann,Will's Mineral Processing Technology (7th),BA Wills,UCT,1st semester,Chemical Engineering,CHE4050F ,40,Recommended
978-0-582-44695-3,ISBN,Oxford Univ. Press,A Guidebook to Mechanism in Organic Chemistry,P. Sykes,UCT,1st & 2nd semester,Chemistry,CEM3005W,50,Prescribed
978-0-071-28354-0,ISBN,McGraw Hill,Chemistry: The Molecular Nature of Matter and Change,M Silberberg,UCT,1st & 2nd semester,Chemistry,CEM1000W,400,Prescribed
978-0-071-28354-0,ISBN,McGraw Hill,Chemistry: The Molecular Nature of Matter and Change,M Silberberg,UCT,1st semester,Chemistry,CEM1008F,290,Prescribed
978-0-071-28354-0,ISBN,McGraw Hill,Chemistry: The Molecular Nature of Matter and Change,M Silberberg,UCT,1st & 2nd semester,Chemistry,CEM1009H,80,Prescribed
978-0-071-28354-0,ISBN,McGraw Hill,Chemistry: The Molecular Nature of Matter and Change,M Silberberg,UCT,1st & 2nd semester,Chemistry,CEM1010H,80,Prescribed
978-0-071-28354-0,ISBN,McGraw Hill,Chemistry: The Molecular Nature of Matter and Change,M Silberberg,UCT,1st semester,Chemistry,CEM1011F,220,Prescribed
978-0-071-28354-0,ISBN,McGraw Hill,Chemistry: The Molecular Nature of Matter and Change,M Silberberg,UCT,1st & 2nd semester,Chemistry,CEM1011X ,40,Prescribed
978-0-071-28354-0,ISBN,McGraw Hill,Chemistry: The Molecular Nature of Matter and Change,M Silberberg,UCT,2nd semester,Chemistry,CEM1111S,40,Prescribed
978-0-321-64416-9,ISBN,Pearson,Essential Organic Chemistry,Paula Yurkanis Bruice,UCT,1st & 2nd semester,Chemistry,CEM1009H,80,Recommended
978-0-321-64416-9,ISBN,Pearson,Essential Organic Chemistry,Paula Yurkanis Bruice,UCT,1st & 2nd semester,Chemistry,CEM1000W,400,Prescribed
978-0-321-64416-9,ISBN,Pearson,Essential Organic Chemistry,Paula Yurkanis Bruice,UCT,1st & 2nd semester,Chemistry,CEM1010H,80,Prescribed
978-0-321-64416-9,ISBN,Pearson,Essential Organic Chemistry,Paula Yurkanis Bruice,UCT,1st & 2nd semester,Chemistry,CEM1011F,220,Prescribed
978-0-321-64416-9,ISBN,Pearson,Essential Organic Chemistry,Paula Yurkanis Bruice,UCT,1st & 2nd semester,Chemistry,CEM1011X,40,Prescribed
978-0-321-64416-9,ISBN,Pearson,Essential Organic Chemistry,Paula Yurkanis Bruice,UCT,2nd semester,Chemistry,CEM1111S,40,Prescribed
978-0-131-75553-6,ISBN,Pearson Education Inc.,Inorganic Chemistry,"C.E. Housecroft, A.G. Sharpe",UCT,2nd semester,Chemistry,CEM2008S,250,Prescribed
